v8-version,6,2,414,50,0
code-creation,Builtin,5,2907,0x312282ee49c0,194,"NumberConstructor_ConstructStub"
code-creation,Builtin,5,2907,0x312282ee4b00,15,"NumberPrototypeToExponential"
code-creation,Builtin,5,2908,0x312282ee4b80,15,"NumberPrototypeToFixed"
code-creation,Builtin,5,2909,0x312282ee4c00,15,"NumberPrototypeToPrecision"
code-creation,Builtin,5,2910,0x312282ee4c80,15,"NumberPrototypeToString"
code-creation,Builtin,5,2911,0x312282ee4d00,127,"NumberPrototypeValueOf"
code-creation,Builtin,5,2911,0x312282ee4de0,72,"NumberIsFinite"
code-creation,Builtin,5,2912,0x312282ee4ea0,320,"NumberIsInteger"
code-creation,Builtin,5,2913,0x312282ee5040,64,"NumberIsNaN"
code-creation,Builtin,5,2914,0x312282ee50e0,356,"NumberIsSafeInteger"
code-creation,Builtin,5,2915,0x312282ee52c0,155,"NumberParseFloat"
code-creation,Builtin,5,2915,0x312282ee53c0,323,"ToString"
code-creation,Builtin,5,2916,0x312282ee5580,311,"NumberParseInt"
code-creation,Builtin,5,2917,0x312282ee5720,15,"BooleanConstructor"
code-creation,Builtin,5,2918,0x312282ee57a0,15,"BooleanConstructor_ConstructStub"
