Statistical profiling result from isolate-0x25c2df0-v8.log, (4059 ticks, 199 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~onSocket _http_client.js:693:20
      1    0.0%    0.0%  LazyCompile: ~onFinish _http_outgoing.js:719:18
      1    0.0%    0.0%  LazyCompile: ~ok assert.js:69:12
      1    0.0%    0.0%  LazyCompile: ~needMoreData _stream_readable.js:298:22
      1    0.0%    0.0%  LazyCompile: ~needFinish _stream_writable.js:577:20
      1    0.0%    0.0%  LazyCompile: ~isUint8Array internal/util/types.js:28:22
      1    0.0%    0.0%  LazyCompile: ~isString /home/gofrendi/Projects/chimera-framework/lib/util.js:154:19
      1    0.0%    0.0%  LazyCompile: ~isFunction /home/gofrendi/Projects/chimera-framework/lib/util.js:182:21
      1    0.0%    0.0%  LazyCompile: ~getRevealedHiddenNestedChain /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:472:41
      1    0.0%    0.0%  LazyCompile: ~getProxyFromURI /home/gofrendi/Projects/chimera-framework/node_modules/request/lib/getProxyFromURI.js:40:26
      1    0.0%    0.0%  LazyCompile: ~getPatchedObject /home/gofrendi/Projects/chimera-framework/lib/util.js:73:27
      1    0.0%    0.0%  LazyCompile: ~getCompiledCommand /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:401:31
      1    0.0%    0.0%  LazyCompile: ~getChainWithId /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:87:27
      1    0.0%    0.0%  LazyCompile: ~getChainWithDefaultValues /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:92:38
      1    0.0%    0.0%  LazyCompile: ~get _stream_duplex.js:94:6
      1    0.0%    0.0%  LazyCompile: ~fromList _stream_readable.js:932:18
      1    0.0%    0.0%  LazyCompile: ~freeParser _http_common.js:201:20
      1    0.0%    0.0%  LazyCompile: ~free internal/freelist.js:17:7
      1    0.0%    0.0%  LazyCompile: ~format url.js:566:39
      1    0.0%    0.0%  LazyCompile: ~filterOutReservedFunctions /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:58:37
      1    0.0%    0.0%  LazyCompile: ~filterForNonReserved /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:44:31
      1    0.0%    0.0%  LazyCompile: ~extname path.js:1455:28
      1    0.0%    0.0%  LazyCompile: ~exports._unrefActive timers.js:155:32
      1    0.0%    0.0%  LazyCompile: ~executeChain /home/gofrendi/Projects/chimera-framework/lib/core.js:30:23
      1    0.0%    0.0%  LazyCompile: ~end /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:525:24
      1    0.0%    0.0%  LazyCompile: ~emitPendingUnhandledRejections internal/process/promises.js:100:42
      1    0.0%    0.0%  LazyCompile: ~done /home/gofrendi/Projects/chimera-framework/node_modules/neo-async/async.js:6903:18
      1    0.0%    0.0%  LazyCompile: ~dirname path.js:1348:28
      1    0.0%    0.0%  LazyCompile: ~destroy internal/streams/destroy.js:4:17
      1    0.0%    0.0%  LazyCompile: ~defineDefaultChainCommand /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:281:38
      1    0.0%    0.0%  LazyCompile: ~createSingleChainCallback /home/gofrendi/Projects/chimera-framework/lib/core.js:334:38
      1    0.0%    0.0%  LazyCompile: ~createSingleChainAction /home/gofrendi/Projects/chimera-framework/lib/core.js:354:36
      1    0.0%    0.0%  LazyCompile: ~createNestedChainActions /home/gofrendi/Projects/chimera-framework/lib/core.js:252:37
      1    0.0%    0.0%  LazyCompile: ~createCallback /home/gofrendi/Projects/chimera-framework/node_modules/neo-async/async.js:2906:30
      1    0.0%    0.0%  LazyCompile: ~copy /home/gofrendi/Projects/chimera-framework/node_modules/request/lib/helpers.js:42:15
      1    0.0%    0.0%  LazyCompile: ~clearBuffer _stream_writable.js:479:21
      1    0.0%    0.0%  LazyCompile: ~clear internal/process/next_tick.js:42:8
      1    0.0%    0.0%  LazyCompile: ~checkIsHttpToken _http_common.js:280:26
      1    0.0%    0.0%  LazyCompile: ~checkInvalidHeaderChar _http_common.js:330:32
      1    0.0%    0.0%  LazyCompile: ~cachePathsRequire /home/gofrendi/Projects/chimera-framework/node_modules/cache-require-paths/index.js:20:54
      1    0.0%    0.0%  LazyCompile: ~assignVariableByInsValue /home/gofrendi/Projects/chimera-framework/lib/core.js:462:37
      1    0.0%    0.0%  LazyCompile: ~assertPath path.js:26:20
      1    0.0%    0.0%  LazyCompile: ~args /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:313:12
      1    0.0%    0.0%  LazyCompile: ~allocate buffer.js:281:18
      1    0.0%    0.0%  LazyCompile: ~afterShutdown net.js:311:23
      1    0.0%    0.0%  LazyCompile: ~afterConnect net.js:1162:22
      1    0.0%    0.0%  LazyCompile: ~adjustOffset buffer.js:950:22
      1    0.0%    0.0%  LazyCompile: ~addRequest _http_agent.js:138:49
      1    0.0%    0.0%  LazyCompile: ~addListener events.js:296:58
      1    0.0%    0.0%  LazyCompile: ~action /home/gofrendi/Projects/chimera-framework/lib/core.js:572:20
      1    0.0%    0.0%  LazyCompile: ~_unrefTimer net.js:268:52
      1    0.0%    0.0%  LazyCompile: ~_tickCallback internal/process/next_tick.js:151:25
      1    0.0%    0.0%  LazyCompile: ~_storeHeader _http_outgoing.js:287:22
      1    0.0%    0.0%  LazyCompile: ~_combinedTickCallback internal/process/next_tick.js:129:33
      1    0.0%    0.0%  LazyCompile: ~_addHeaderLines _http_incoming.js:119:25
      1    0.0%    0.0%  LazyCompile: ~Writable.end _stream_writable.js:550:34
      1    0.0%    0.0%  LazyCompile: ~Uint8Array native typedarray.js:158:31
      1    0.0%    0.0%  LazyCompile: ~Tunnel.isEnabled /home/gofrendi/Projects/chimera-framework/node_modules/request/lib/tunnel.js:114:39
      1    0.0%    0.0%  LazyCompile: ~Tunnel /home/gofrendi/Projects/chimera-framework/node_modules/request/lib/tunnel.js:105:17
      1    0.0%    0.0%  LazyCompile: ~Socket.write net.js:712:34
      1    0.0%    0.0%  LazyCompile: ~Socket._read net.js:491:34
      1    0.0%    0.0%  LazyCompile: ~Request.jar /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:1439:34
      1    0.0%    0.0%  LazyCompile: ~Redirect.redirectTo /home/gofrendi/Projects/chimera-framework/node_modules/request/lib/redirect.js:45:42
      1    0.0%    0.0%  LazyCompile: ~Redirect.onResponse /home/gofrendi/Projects/chimera-framework/node_modules/request/lib/redirect.js:79:42
      1    0.0%    0.0%  LazyCompile: ~Redirect.onRequest /home/gofrendi/Projects/chimera-framework/node_modules/request/lib/redirect.js:19:41
      1    0.0%    0.0%  LazyCompile: ~Readable.push _stream_readable.js:191:35
      1    0.0%    0.0%  LazyCompile: ~Readable.on _stream_readable.js:771:33
      1    0.0%    0.0%  LazyCompile: ~Querystring.init /home/gofrendi/Projects/chimera-framework/node_modules/request/lib/querystring.js:14:39
      1    0.0%    0.0%  LazyCompile: ~Querystring /home/gofrendi/Projects/chimera-framework/node_modules/request/lib/querystring.js:6:22
      1    0.0%    0.0%  LazyCompile: ~NativeModule.nonInternalExists bootstrap_node.js:562:46
      1    0.0%    0.0%  LazyCompile: ~NativeModule.exists bootstrap_node.js:551:33
